Dataset      Time  Clusters      test_statistic            p    p_correct    n_censored_A    n_obs_A    n_censored_B    n_obs_B  test_name                                        point_estimate
---------  ------  ----------  ----------------  -----------  -----------  --------------  ---------  --------------  ---------  -----------------------------------------------  -------------------------------------------
ADNI           24  0x1                 7.02363   0.00804411   0.00965293               67        105              69        139  survival_difference_at_fixed_point_in_time_test  IH: 0.74 [0.64, 0.82],H: 0.56 [0.46, 0.64]
ADNI           24  0x2                13.6436    0.000220994  0.000441987              71         90              69        139  survival_difference_at_fixed_point_in_time_test  IL: 0.83 [0.73, 0.89],H: 0.56 [0.46, 0.64]
ADNI           24  1x2                 1.71879   0.189849     0.189849                 71         90              67        105  survival_difference_at_fixed_point_in_time_test  IL: 0.83 [0.73, 0.89],IH: 0.74 [0.64, 0.82]
ADNI           24  0x3                43.7241    3.78089e-11  2.26853e-10             180        206              69        139  survival_difference_at_fixed_point_in_time_test  L: 0.96 [0.91, 0.98],H: 0.56 [0.46, 0.64]
ADNI           24  1x3                20.1751    7.06659e-06  2.11998e-05             180        206              67        105  survival_difference_at_fixed_point_in_time_test  L: 0.96 [0.91, 0.98],IH: 0.74 [0.64, 0.82]
ADNI           24  2x3                 9.99906   0.00156621   0.00234931              180        206              71         90  survival_difference_at_fixed_point_in_time_test  L: 0.96 [0.91, 0.98],IL: 0.83 [0.73, 0.89]
ADNI           48  0x1                 4.84356   0.0277496    0.0282559                67        105              69        139  survival_difference_at_fixed_point_in_time_test  IH: 0.59 [0.46, 0.69],H: 0.41 [0.31, 0.51]
ADNI           48  0x2                18.9278    1.35761e-05  2.71522e-05              71         90              69        139  survival_difference_at_fixed_point_in_time_test  IL: 0.77 [0.66, 0.85],H: 0.41 [0.31, 0.51]
ADNI           48  1x2                 5.58824   0.0180814    0.0271222                71         90              67        105  survival_difference_at_fixed_point_in_time_test  IL: 0.77 [0.66, 0.85],IH: 0.59 [0.46, 0.69]
ADNI           48  0x3                50.6118    1.12564e-12  6.75387e-12             180        206              69        139  survival_difference_at_fixed_point_in_time_test  L: 0.89 [0.83, 0.93],H: 0.41 [0.31, 0.51]
ADNI           48  1x3                23.8321    1.05116e-06  3.15347e-06             180        206              67        105  survival_difference_at_fixed_point_in_time_test  L: 0.89 [0.83, 0.93],IH: 0.59 [0.46, 0.69]
ADNI           48  2x3                 4.81238   0.0282559    0.0282559               180        206              71         90  survival_difference_at_fixed_point_in_time_test  L: 0.89 [0.83, 0.93],IL: 0.77 [0.66, 0.85]
ADNI           96  0x1                 2.4228    0.119581     0.143497                 67        105              69        139  survival_difference_at_fixed_point_in_time_test  IH: 0.38 [0.19, 0.57],H: 0.14 [0.02, 0.38]
ADNI           96  0x2                12.9397    0.000321686  0.000965059              71         90              69        139  survival_difference_at_fixed_point_in_time_test  IL: 0.69 [0.53, 0.81],H: 0.14 [0.02, 0.38]
ADNI           96  1x2                 5.9628    0.0146108    0.0219162                71         90              67        105  survival_difference_at_fixed_point_in_time_test  IL: 0.69 [0.53, 0.81],IH: 0.38 [0.19, 0.57]
ADNI           96  0x3                19.3815    1.07036e-05  6.42219e-05             180        206              69        139  survival_difference_at_fixed_point_in_time_test  L: 0.75 [0.64, 0.84],H: 0.14 [0.02, 0.38]
ADNI           96  1x3                11.3759    0.000744041  0.00148808              180        206              67        105  survival_difference_at_fixed_point_in_time_test  L: 0.75 [0.64, 0.84],IH: 0.38 [0.19, 0.57]
ADNI           96  2x3                 0.50403   0.477735     0.477735                180        206              71         90  survival_difference_at_fixed_point_in_time_test  L: 0.75 [0.64, 0.84],IL: 0.69 [0.53, 0.81]
NACC           24  0x1                 2.95706   0.0855031    0.128255                100        129              77        134  survival_difference_at_fixed_point_in_time_test  IH: 0.79 [0.68, 0.86],H: 0.67 [0.56, 0.76]
NACC           24  0x2                 7.50268   0.00616073   0.0184822                77        100              77        134  survival_difference_at_fixed_point_in_time_test  IL: 0.88 [0.77, 0.94],H: 0.67 [0.56, 0.76]
NACC           24  1x2                 1.8219    0.177087     0.212504                 77        100             100        129  survival_difference_at_fixed_point_in_time_test  IL: 0.88 [0.77, 0.94],IH: 0.79 [0.68, 0.86]
NACC           24  0x3                 9.8487    0.00169952   0.0101971               124        145              77        134  survival_difference_at_fixed_point_in_time_test  L: 0.89 [0.80, 0.95],H: 0.67 [0.56, 0.76]
NACC           24  1x3                 3.00066   0.0832308    0.128255                124        145             100        129  survival_difference_at_fixed_point_in_time_test  L: 0.89 [0.80, 0.95],IH: 0.79 [0.68, 0.86]
NACC           24  2x3                 0.109857  0.740307     0.740307                124        145              77        100  survival_difference_at_fixed_point_in_time_test  L: 0.89 [0.80, 0.95],IL: 0.88 [0.77, 0.94]
NACC           48  0x1                 9.48802   0.00206818   0.00620455              100        129              77        134  survival_difference_at_fixed_point_in_time_test  IH: 0.62 [0.46, 0.74],H: 0.29 [0.18, 0.41]
NACC           48  0x2                 4.70883   0.0300081    0.0600162                77        100              77        134  survival_difference_at_fixed_point_in_time_test  IL: 0.54 [0.36, 0.69],H: 0.29 [0.18, 0.41]
NACC           48  1x2                 0.468296  0.493772     0.493772                 77        100             100        129  survival_difference_at_fixed_point_in_time_test  IL: 0.54 [0.36, 0.69],IH: 0.62 [0.46, 0.74]
NACC           48  0x3                13.8034    0.000202968  0.00121781              124        145              77        134  survival_difference_at_fixed_point_in_time_test  L: 0.72 [0.57, 0.83],H: 0.29 [0.18, 0.41]
NACC           48  1x3                 1.03881   0.308097     0.369717                124        145             100        129  survival_difference_at_fixed_point_in_time_test  L: 0.72 [0.57, 0.83],IH: 0.62 [0.46, 0.74]
NACC           48  2x3                 2.53433   0.111394     0.167091                124        145              77        100  survival_difference_at_fixed_point_in_time_test  L: 0.72 [0.57, 0.83],IL: 0.54 [0.36, 0.69]
NACC           96  0x1                 7.79202   0.00524775   0.0157433               100        129              77        134  survival_difference_at_fixed_point_in_time_test  IH: 0.42 [0.23, 0.60],H: 0.09 [0.02, 0.23]
NACC           96  0x2                 0.205441  0.650364     0.74728                  77        100              77        134  survival_difference_at_fixed_point_in_time_test  IL: 0.15 [0.01, 0.45],H: 0.09 [0.02, 0.23]
NACC           96  1x2                 2.27138   0.131782     0.197673                 77        100             100        129  survival_difference_at_fixed_point_in_time_test  IL: 0.15 [0.01, 0.45],IH: 0.42 [0.23, 0.60]
NACC           96  0x3                 8.45388   0.00364266   0.0157433               124        145              77        134  survival_difference_at_fixed_point_in_time_test  L: 0.47 [0.25, 0.66],H: 0.09 [0.02, 0.23]
NACC           96  1x3                 0.103831  0.74728      0.74728                 124        145             100        129  survival_difference_at_fixed_point_in_time_test  L: 0.47 [0.25, 0.66],IH: 0.42 [0.23, 0.60]
NACC           96  2x3                 2.84752   0.0915149    0.18303                 124        145              77        100  survival_difference_at_fixed_point_in_time_test  L: 0.47 [0.25, 0.66],IL: 0.15 [0.01, 0.45]
